CITY,NAICSDESCR,X,Y
LAS VEGAS,CHURCHES,-115.2659664,36.2640213
LAS VEGAS,CHURCHES,-115.0694092,36.1302762
LAS VEGAS,CHURCHES,-115.1826767,36.166601
LAS VEGAS,CHURCHES,-115.1159943,36.1254074
LAS VEGAS,CHURCHES,-115.1287115,36.1661481
BOULDER CITY,CHURCHES,-114.8512584,35.9740814
LAS VEGAS,CHURCHES,-115.1454794,36.1678941
LAS VEGAS,CHURCHES,-115.2514797,36.1444853
LAS VEGAS,CHURCHES,-115.2008437,36.1522365
LAS VEGAS,CHURCHES,-115.1395401,36.1033764
LAS VEGAS,CHURCHES,-115.1488272,36.1852613
LAS VEGAS,CHURCHES,-115.1487323,36.1842054
LAS VEGAS,CHURCHES,-115.2289729,36.1193244
LAS VEGAS,CHURCHES,-115.064626,36.1036466
LAS VEGAS,CHURCHES,-115.0567466,36.1922322
LAS VEGAS,CHURCHES,-115.2455785,36.0514632
LAS VEGAS,CHURCHES,-115.1237458,36.0563921
LAS VEGAS,CHURCHES,-115.2598741,36.2243194
BOISE,CHURCHES,-116.2735283,43.6247916
BOISE,CHURCHES,-116.2000597,43.6187745
BOISE,CHURCHES,-116.1626175,43.5360335
LAS VEGAS,CHURCHES,-115.1573691,36.1972758
LAS VEGAS,CHURCHES,-115.0862696,36.1939836
GOODSPRINGS,CHURCHES,-115.4369138,35.8320514
LAS VEGAS,CHURCHES,-115.1550227,36.1972452
BOISE,PLACES OF WORSHIP,-116.2281224,43.6058484
EAGLE,CHURCHES,-116.3489689,43.6959707
CARSON CITY,CHURCHES,-119.7567196,39.1184047
CARSON CITY,CHURCHES,-119.7601942,39.1696648
CARSON CITY,CHURCHES,-119.7567576,39.1177326
FALLON,CHURCHES,-118.8942748,39.4995348
FALLON,CHURCHES,-118.8565735,39.4859786
HAWTHORNE,CHURCHES,-118.6269098,38.5295187
PAHRUMP,CHURCHES,-115.9797305,36.124263
STOCKTON,CHURCHES,-121.3314327,38.0083276
WINNEMUCCA,CHURCHES,-117.7310693,40.9746752
YERINGTON,CHURCHES,-119.16285,38.9862405
HENDERSON,CHURCHES,-114.9860317,36.0323158
LAS VEGAS,CHURCHES,-115.1002183,36.0873243
LAS VEGAS,CHURCHES,-115.0554553,36.1883366
LAS VEGAS,CHURCHES,-115.1375325,36.1476752
LAS VEGAS,CHURCHES,-115.3058984,36.1966711
LAS VEGAS,CHURCHES,-115.1153942,36.1792337
RENO,CHURCHES,-119.8146384,39.5236756
ELKO,CHURCHES,-115.7873165,40.8498675
PASO ROBLES,CHURCHES,-120.657173,35.6358959
LAS VEGAS,CHURCHES,-115.1503926,36.1866471
SACRAMENTO,CHURCHES,-121.3634262,38.4532829
PASO ROBLES,CHURCHES,-120.6934647,35.6299015
LAS VEGAS,CHURCHES,-115.1568328,36.18431
NORTH LAS VEGAS,CHURCHES,-115.1200597,36.1880452
NORTH LAS VEGAS,CHURCHES,-115.1206006,36.2137269
SAN LUIS OBISPO,CHURCHES,-120.6484618,35.2760997
LAS VEGAS,CHURCHES,-115.1964707,36.1687925
HENDERSON,CHURCHES,-115.0278141,36.0412089
BAKERSFIELD,CHURCHES,-118.9657375,35.3943729
BAKERSFIELD,CHURCHES,-119.0279329,35.3746598
FRESNO,CHURCHES,-119.8088615,36.8100293
FRESNO,CHURCHES,-119.7637942,36.8440867
MODESTO,CHURCHES,-120.9564685,37.6657572
STOCKTON,CHURCHES,-121.3248179,38.0134551
STOCKTON,CHURCHES,-121.2903275,37.9560785
PISMO BEACH,CHURCHES,-120.6085335,35.1353157
MORRO BAY,CHURCHES,-120.8246508,35.3637091
STOCKTON,"MOSQUES, RELIGIOUS",-121.2720225,37.943839
STOCKTON,CHURCHES,-121.2865017,37.9320986
SAN LUIS OBISPO,"MOSQUES, RELIGIOUS",-120.662817,35.2854156
HENDERSON,CHURCHES,-115.1000285,36.0273079
SALT LAKE CITY,CHURCHES,-111.8101797,40.7473195
MODESTO,"MOSQUES, RELIGIOUS",-121.0315876,37.6566352
TOLLHOUSE,CHURCHES,-119.3408962,36.9722651
COULTERVILLE,CHURCHES,-120.132339,37.7403452
VISALIA,CHURCHES,-119.3408859,36.2997694
SACRAMENTO,PLACES OF WORSHIP,-121.3820843,38.6301507
PORTERVILLE,CHURCHES,-119.0236456,36.0674089
MODESTO,CHURCHES,-121.0217085,37.6667094
LINDSAY,CHURCHES,-119.0789718,36.2104642
MODESTO,CHURCHES,-121.027016,37.6824353
EXETER,CHURCHES,-119.1393656,36.294306
VISALIA,"MOSQUES, RELIGIOUS",-119.3101446,36.3190272
ARCO,CHURCHES,-113.3046554,43.6340283
TERRETON,CHURCHES,-112.4728972,43.8409819
JEROME,CHURCHES,-114.5172639,42.7263667
JEROME,CHURCHES,-114.5143766,42.7253927
LAS VEGAS,CHURCHES,-115.0935319,36.1998693
IDAHO FALLS,CHURCHES,-112.0200033,43.4939814
LAS VEGAS,CHURCHES,-115.1983123,36.1808036
HENDERSON,CHURCHES,-115.0045702,36.063654
HENDERSON,CHURCHES,-114.9791057,36.038269
HENDERSON,PLACES OF WORSHIP,-115.1068678,36.0395102
LAS VEGAS,CHURCHES,-115.1365271,36.1098316
LAS VEGAS,CHURCHES,-115.1340293,36.1630738
LAS VEGAS,"SHRINES, RELIGIOUS",-115.1127884,36.1342593
LAS VEGAS,CHURCHES,-115.163471,36.1304802
IDAHO FALLS,CHURCHES,-111.999489,43.4815117
LAS VEGAS,CHURCHES,-115.2704713,36.1933224
LAS VEGAS,CHURCHES,-115.1212213,36.0648345
LAS VEGAS,CHURCHES,-115.227031,36.2473708
LAS VEGAS,CHURCHES,-115.1185208,36.114193
LAS VEGAS,CHURCHES,-115.270598,36.1749131
SALT LAKE CITY,CHURCHES,-111.8577906,40.7452752
LAS VEGAS,CHURCHES,-115.1337899,36.0503337
HENDERSON,CHURCHES,-115.1000285,36.0273066
NORTH LAS VEGAS,CHURCHES,-115.1315792,36.1973534
LAS VEGAS,CHURCHES,-115.1102753,36.086017
NAMPA,CHURCHES,-116.5633884,43.5708559
LAS VEGAS,"TEMPLES, RELIGIOUS",-115.2254524,36.1128781
MELBA,CHURCHES,-116.5288194,43.3754687
HOMEDALE,CHURCHES,-116.936404,43.6155591
WEST VALLEY CITY,CHURCHES,-111.9849741,40.706701
SALT LAKE CITY,CHURCHES,-111.8534467,40.6956593
CALDWELL,CHURCHES,-116.6970872,43.6581908
NAMPA,CHURCHES,-116.5590408,43.5751208
NAMPA,CHURCHES,-116.5915146,43.595726
TURLOCK,CHURCHES,-120.8313994,37.5194069
NAMPA,CHURCHES,-116.5703852,43.5093651
SPARKS,CHURCHES,-119.762595,39.5552663
CALDWELL,CHURCHES,-116.653621,43.6330739
SALT LAKE CITY,PLACES OF WORSHIP,-111.8459403,40.7351077
RENO,CHURCHES,-119.7778885,39.5117964
FLAGSTAFF,CHURCHES,-111.6140421,35.2177178
TWIN FALLS,CHURCHES,-114.4396862,42.5753716
TWIN FALLS,CHURCHES,-114.4631489,42.5607166
RENO,CHURCHES,-119.7409591,39.495723
