NAME,CITY,STATE,COUNTY,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,PROT,CATH
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MONUMENT PARK 13TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096674,-111.8217637,40.7412455,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - NINETEENTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093879,-111.8981738,40.7797232,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PARKVIEW (TONGAN) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32061912,-111.9315611,40.7434159,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE 2ND (TONGAN - YOUNG SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32061912,-111.9315588,40.7434161,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FEDERAL HEIGHTS WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32130992,-111.8504398,40.7757205,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CANNON 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062118,-111.9276641,40.739192,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CANNON 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062051,-111.9254351,40.7414027,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FOOTHILL 7TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096768,-111.836936,40.7388277,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FOURTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124056241,-111.895221,40.774337,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT OLYMPUS 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099970,-111.7873344,40.6778057,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MILLCREEK 3RD (SPANISH) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100257,-111.8752152,40.6723063,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE 2ND BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124056241,-111.8952226,40.7743419,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT ENSIGN 4TH (RUSSIAN) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124056241,-111.8952235,40.7743395,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD CREEK WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,717673260,-111.8560999,40.6649652,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EASTRIDGE WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,717673260,-111.8561017,40.6649681,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CANYON ROAD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094883,-111.8907225,40.7698274,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ENSIGN 3RD BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094883,-111.890722,40.7698253,CHRISTIAN,LDS,Y,N
OUR LADY OF LOURDES CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095873,-111.8599618,40.7545823,CHRISTIAN,NOT AVAILABLE,N,Y
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - THIRTEENTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32130901,-111.8727791,40.7666778,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TWELFTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32130901,-111.8727792,40.7666783,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BRYAN WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096992,-111.8589913,40.7340113,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BONNEVILLE 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096376,-111.8468095,40.7470595,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 10TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100623,-111.8434564,40.662071,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ROSE PARK 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093479,-111.9244394,40.7858678,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ROSE PARK 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093479,-111.924438,40.7858663,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ROSE PARK 9TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093479,-111.924439,40.7858676,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ROSE PARK 10TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093479,-111.924439,40.7858657,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CHEVY CHASE WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100839,-111.8589812,40.6559404,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FARM HILL WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100839,-111.8589802,40.6559401,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 7TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32120704,-111.8454555,40.6503737,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EMIGRATION 4TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093340,-111.871545,40.7895006,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32101155,-111.8344159,40.6434573,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MAPUSAGA (SAMOAN) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32085031,-112.015799,40.6852567,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32101155,-111.8344162,40.643458,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 2ND (STUDENT MARRIED) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095474,-111.835312,40.7593699,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CANNON 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131996,-111.918111,40.7453633,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 3RD (STUDENT MARRIED) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095474,-111.8353122,40.759372,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HAWTHORNE WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096793,-111.8677229,40.7377024,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 39TH (CHINESE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095474,-111.8353122,40.759372,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CANNON 7TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131996,-111.9181116,40.745364,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HARVARD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32109424,-111.8772372,40.7537974,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SECOND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32109424,-111.8772367,40.7537974,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - APPLE VALLEY WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32102076,-111.7992577,40.6208108,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - OLD MILL WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32102076,-111.7992543,40.6208111,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 5TH (STUDENT MARRIED) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095474,-111.8353115,40.7593716,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 11TH (STUDENT MARRIED) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095474,-111.8353141,40.7593714,CHRISTIAN,LDS,Y,N
