NAME,CITY,STATE,COUNTY,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,PROT,CATH
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BRIGHTON 9TH (YOUNG SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,735201440,-111.8193388,40.6120976,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LITTLE COTTONWOOD 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32101464,-111.8486031,40.6356772,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 21ST (STUDENT MARRIED) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32130668,-111.8382185,40.751343,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - VALLEY VIEW 7TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099395,-111.8262042,40.6875627,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 4TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32120704,-111.8454535,40.6503739,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PARLEYS 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097660,-111.8374385,40.7204367,CHRISTIAN,LDS,Y,N
CALVARY BAPTIST CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32061832,-111.8894246,40.7453712,CHRISTIAN,ABC,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BRIGHTON 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,735201440,-111.8193397,40.6120978,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CRYSTAL HEIGHTS 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097883,-111.834691,40.7151688,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LIBERTY PARK (SPANISH) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32061847,-111.878708,40.7450741,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MONUMENT PARK 17TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096348,-111.8101805,40.7473201,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HIGHLAND VIEW WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098501,-111.8095952,40.7046869,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CRYSTAL HEIGHTS 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097883,-111.8346917,40.7151683,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BURTON (SPANISH) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32063056,-111.8915835,40.7118151,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - DAI-ICHI (JAPANESE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131650,-111.8645609,40.7265655,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - OLYMPUS 6TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099711,-111.8059791,40.6821329,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT ENSIGN 3RD (SPANISH) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093879,-111.898171,40.779722,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EAST MILL CREEK 15TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099274,-111.8190828,40.6898362,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EAST MILL CREEK 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099274,-111.8190818,40.6898392,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FOREST DALE 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131650,-111.8645608,40.7265662,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PARLEYS 4TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097660,-111.8374384,40.7204375,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LITTLE COTTONWOOD 16TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32101464,-111.8486031,40.635676,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 6TH (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124038285,-111.8360288,40.7614905,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FOOTHILL 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096811,-111.8273443,40.7381735,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100228,-111.8564087,40.6728615,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LEGRAND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096428,-111.8617564,40.7456715,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LIBERTY 3RD (TONGAN) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097832,-111.8676082,40.7169472,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MEADOW WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094043,-111.9469698,40.7776942,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LITTLE COTTONWOOD 9TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32128335,-111.8577656,40.6401245,CHRISTIAN,LDS,Y,N
CONGREGATION KOL AMI,SALT LAKE CITY,UT,SALT LAKE,SYNAGOGUES,32098046,-111.8213743,40.7118435,JUDAIC,REFORM,N,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FORESTVIEW WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098098,-111.8591423,40.7105898,CHRISTIAN,LDS,Y,N
CHAVURAH B'YACHAD,SALT LAKE CITY,UT,SALT LAKE,SYNAGOGUES,32095040,-111.8803376,40.7674647,JUDAIC,RECONSTRUCTIONIST,N,N
IJ AND JEANNE WAGNER JEWISH COMMUNITY CENTER,SALT LAKE CITY,UT,SALT LAKE,SYNAGOGUES,32119556,-111.8398507,40.7737849,JUDAIC,NOT AVAILABLE,N,N
CHABAD LUBAVITCH OF UTAH,SALT LAKE CITY,UT,SALT LAKE,SYNAGOGUES,32097123,-111.8600965,40.7320513,JUDAIC,CHABAD,N,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 12TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100816,-111.8417453,40.6555568,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MONUMENT PARK 14TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097623,-111.8115283,40.7230843,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GARDEN HEIGHTS WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098288,-111.8270218,40.7069211,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ARBOR BRANCH (SPANISH),SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062274,-111.8851028,40.7365309,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT OLYMPUS 9TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100391,-111.8002678,40.6699785,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD ACRES WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32120621,-111.8632539,40.6508758,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT OLYMPUS 12TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099821,-111.785156,40.680338,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MILLCREEK 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32064389,-111.8903857,40.6883126,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WHITTIER WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062274,-111.885103,40.736531,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PIONEER (TONGAN) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,31347951,-111.9385774,40.7836275,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100228,-111.8564094,40.6728604,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BUTLER 12TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,734819069,-111.8156092,40.6243659,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EIGHTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32132136,-111.8829168,40.7580649,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EIGHTEENTH NORTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094692,-111.8751014,40.7720828,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HAVEN WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062743,-111.8831046,40.7209975,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WATERLOO WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062313,-111.8762699,40.7344632,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FOOTHILL 6TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096811,-111.827344,40.7381747,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CENTRAL PARK WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32063034,-111.8821569,40.7123097,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE 5TH (TONGAN) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,31347951,-111.938577,40.7836277,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TWENTY FIRST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094702,-111.8690409,40.7711834,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GERMAN SPEAKING WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096045,-111.8562328,40.7533734,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 14TH (YOUNG SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100046,-111.8604677,40.6766976,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - VALLEY VIEW 6TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131229,-111.8344818,40.6874993,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - DOUGLAS WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096045,-111.8562318,40.7533738,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - VALLEY VIEW 10TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131229,-111.8344815,40.6874974,CHRISTIAN,LDS,Y,N
SAINT PATRICK CATHOLIC CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095386,-111.9211471,40.7610223,CHRISTIAN,NOT AVAILABLE,N,Y
BIG MIND WESTERN ZEN CENTER,SALT LAKE CITY,UT,SALT LAKE,PLACES OF WORSHIP,734783361,-111.85434,40.769072,BUDDHIST,MAHAYANA,N,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WASATCH VALLEY (CARE CENTER) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,737867224,-111.8276182,40.6989734,CHRISTIAN,LDS,Y,N
SAINT PAUL'S EPISCOPAL CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095312,-111.8647149,40.7633805,CHRISTIAN,EPIS,Y,N
OUR LADY OF GUADALUPE CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094325,-111.9116298,40.7754695,CHRISTIAN,NOT AVAILABLE,N,Y
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MONUMENT PARK 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096355,-111.8328544,40.7472433,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MONUMENT PARK 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096355,-111.8328503,40.7472429,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TWENTY SIXTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,736498791,-111.9240229,40.7580596,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LITTLE COTTONWOOD 20TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32128335,-111.8577631,40.6401226,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNTAIN VIEW 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096768,-111.8369351,40.738829,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 17TH (PORTUGUESE) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100438,-111.8486325,40.6680057,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PARLEYS 7TH (SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097660,-111.8374389,40.7204369,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - VALLEY VIEW 12TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098875,-111.8312194,40.6971898,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - OLYMPUS 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099711,-111.8059791,40.6821358,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SPRINGVIEW WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098591,-111.8648672,40.7026865,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GRANITE (SPANISH) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32063713,-111.8822141,40.7009089,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MILLER WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32063713,-111.8822143,40.7009084,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WASATCH 8TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32118954,-111.7921845,40.6129107,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT OLYMPUS 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32119933,-111.7928311,40.6945184,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LEE WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32064389,-111.8903888,40.6883103,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MILLCREEK 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32118927,-111.8801323,40.6797568,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 12TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100046,-111.8604684,40.6766979,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 6TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100051,-111.8490271,40.6764887,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 10TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100051,-111.8490264,40.6764891,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT OLYMPUS 7TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32123008,-111.7925944,40.675583,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT OLYMPUS 6TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32123008,-111.7925935,40.6755836,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LINCOLN HEIGHTS WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124039013,-111.8743076,40.7034879,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FOREST DALE 2ND BRANCH(SPANISH),SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097687,-111.8700866,40.7203411,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE VALLEY 1ST (DEAF) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32108933,-111.8688626,40.7536271,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WASATCH 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32103051,-111.7911797,40.6033277,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WASATCH 2ND (YOUNG SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32103087,-111.7985169,40.6027584,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WASATCH 4TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32103087,-111.7985173,40.6027578,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WASATCH 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32103087,-111.7985169,40.6027584,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LUCERO (SPANISH) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097175,-111.8664889,40.7303219,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - STARCREST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093383,-111.9430418,40.7883602,CHRISTIAN,LDS,Y,N
SACRED HEART CATHOLIC CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32061683,-111.8856873,40.7493359,CHRISTIAN,NOT AVAILABLE,N,Y
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WASATCH 7TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32103051,-111.7911798,40.603328,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - RICHARDS WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097175,-111.8664886,40.7303215,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 46TH (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097687,-111.870087,40.7203432,CHRISTIAN,LDS,Y,N
MOUNTAIN SPRINGS COMMUNITY CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32102001,-111.8448094,40.6215861,CHRISTIAN,CRC,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - VETERAN'S HOME (CARE CENTER) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32119632,-111.8403391,40.7572657,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SAINT JOSEPH (RETIREMENT) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124059165,-111.8780751,40.7282554,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 33RD (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096355,-111.8328535,40.7472452,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TWENTY NINTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093845,-111.9236518,40.7808251,CHRISTIAN,LDS,Y,N
PHO QUANG TEMPLE,SALT LAKE CITY,UT,SALT LAKE,"TEMPLES, RELIGIOUS",32093224,-111.925014,40.7907223,BUDDHIST,MAHAYANA,N,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - OLYMPUS 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099711,-111.8059795,40.682134,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ENSIGN 7TH (YOUNG SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094692,-111.8751015,40.7720825,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PARLEYS 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,722472737,-111.8154356,40.7214984,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HIGHLAND (YOUNG SINGLE ADULT) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097829,-111.8545254,40.7164188,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HIGHLAND PARK WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097829,-111.8545269,40.7164193,CHRISTIAN,LDS,Y,N
THE INNER LIGHT CENTER,SALT LAKE CITY,UT,SALT LAKE,PLACES OF WORSHIP,32065304,-111.8772971,40.675649,BUDDHIST,THERAVADA TRADITION,N,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - YALE WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096340,-111.850015,40.7475687,CHRISTIAN,LDS,Y,N
SALT LAKE BUDDHIST TEMPLE,SALT LAKE CITY,UT,SALT LAKE,"TEMPLES, RELIGIOUS",32132463,-111.8974007,40.7669031,BUDDHIST,JODO SHINSHU BUDDHISM,N,N
BIBLE BAPTIST CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131829,-111.9808821,40.6666986,CHRISTIAN,BAPT,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BUTLER 10TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32126231,-111.8422093,40.6299296,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - RIVERSIDE 2ND (TONGAN) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,31347951,-111.9385777,40.7836304,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BRIGHTON GARDENS (CARE CENTER) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095045,-111.877337,40.7677067,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TEMPLE VIEW (RETIREMENT) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062599,-111.8861472,40.727345,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TENTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,101941249,-111.868609,40.7602694,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BRIGHTON POINT WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,735201443,-111.7970917,40.6099413,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ELEVENTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095037,-111.8636467,40.7676726,CHRISTIAN,LDS,Y,N
CENTRAL VALLEY BAPTIST CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100983,-111.8562035,40.6491077,CHRISTIAN,BAPT,Y,N
ALL SAINTS EPISCOPAL CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097071,-111.8207665,40.7330506,CHRISTIAN,EPIS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - UNIVERSITY WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095104,-111.8528468,40.7659391,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WELLS WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32062546,-111.8771316,40.7268198,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GRANDVIEW 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098251,-111.8345959,40.7077648,CHRISTIAN,LDS,Y,N
