source,target,va
Mammalia,30,Czechia_Import
Mammalia,5168.45,Germany_Import
Mammalia,179,Denmark_Import
Mammalia,4,Estonia_Import
Mammalia,153,Spain_Import
Mammalia,7,Finland_Import
Mammalia,5077.41,France_Import
Mammalia,1470.3,United Kingdom of Great Britain and Northern Ireland_Import
Mammalia,7,Georgia_Import
Mammalia,1331.2,Hong Kong_Import
Mammalia,1,Croatia_Import
Mammalia,27,Hungary_Import
Mammalia,3,Ireland_Import
Mammalia,2,Isle of Man_Import
Mammalia,4,India_Import
Mammalia,79,Italy_Import
Mammalia,6,Jersey_Import
Mammalia,1329,Japan_Import
Mammalia,132.33,Kenya_Import
Mammalia,6,Kuwait_Import
Mammalia,12,Kazakhstan_Import
Mammalia,5,Lithuania_Import
Mammalia,1,Luxembourg_Import
Mammalia,2,Latvia_Import
Mammalia,12,Morocco_Import
Mammalia,11,Monaco_Import
Mammalia,4,Madagascar_Import
Mammalia,1,Macedonia (the former Yugoslav Republic of)_Import
Mammalia,1,Myanmar_Import
Mammalia,4,Mongolia_Import
Mammalia,20.002,Malaysia_Import
Mammalia,35,Netherlands_Import
Mammalia,508,Norway_Import
Mammalia,226.0033,New Zealand_Import
Mammalia,89,Oman_Import
Mammalia,14,Peru_Import
Mammalia,62,Philippines_Import
Mammalia,4,Pakistan_Import
Mammalia,21,Poland_Import
Mammalia,55,Portugal_Import
Mammalia,53,Qatar_Import
Mammalia,4,Romania_Import
Mammalia,4,Serbia_Import
Mammalia,16,Sweden_Import
Mammalia,125,Singapore_Import
Mammalia,13,Slovakia_Import
Mammalia,16,Tunisia_Import
Mammalia,12,Turkey_Import
Mammalia,7,Trinidad and Tobago_Import
Mammalia,68,Uganda_Import
Mammalia,15310.32,United States of America_Import
Mammalia,2,Uruguay_Import
Mammalia,7,Uzbekistan_Import
Reptilia,5,Austria_Import
Reptilia,5,Belgium_Import
Reptilia,89561,China_Import
Reptilia,1,Cuba_Import
Reptilia,11,Czechia_Import
Reptilia,361,Germany_Import
Reptilia,6,Denmark_Import
Reptilia,28,Spain_Import
Reptilia,17085.86,France_Import
Reptilia,52,United Kingdom of Great Britain and Northern Ireland_Import
Reptilia,1,Guernsey_Import
Reptilia,1,Greece_Import
Reptilia,272818.93,Hong Kong_Import
Reptilia,11,Hungary_Import
Reptilia,160,India_Import
Reptilia,881,Italy_Import
Reptilia,1,Jersey_Import
Reptilia,23565.5,Japan_Import
Reptilia,317,Monaco_Import
Reptilia,247,Madagascar_Import
Reptilia,217,Macao_Import
Reptilia,343,Malaysia_Import
Reptilia,254,Netherlands_Import
Reptilia,6,Norway_Import
Reptilia,5,New Zealand_Import
Reptilia,105,Philippines_Import
Reptilia,4656,Portugal_Import
Reptilia,81026,Singapore_Import
Reptilia,412,Turkey_Import
Reptilia,4,Uganda_Import
Reptilia,11614.76,United States of America_Import
Asterales,331897.15,Austria_Import
Asterales,503,Czechia_Import
Asterales,61133.952,Germany_Import
Asterales,0.916,Denmark_Import
Asterales,5000,France_Import
Asterales,30,United Kingdom of Great Britain and Northern Ireland_Import
Asterales,3108.45,Hong Kong_Import
Asterales,60358.24,Japan_Import
Asterales,170,Netherlands_Import
Asterales,4001,United States of America_Import
Caryophyllales,375,Germany_Import
Caryophyllales,1,Japan_Import
Caryophyllales,482,United States of America_Import
Cycadales,12,Czechia_Import
Cycadales,399,Germany_Import
Cycadales,23,France_Import
Cycadales,400,United Kingdom of Great Britain and Northern Ireland_Import
Cycadales,7,Italy_Import
Cycadales,3264,Japan_Import
Cycadales,536,New Zealand_Import
Cycadales,314,United States of America_Import
Euphorbiales,50,Czechia_Import
Euphorbiales,395,Germany_Import
Euphorbiales,1,France_Import
Euphorbiales,8,Japan_Import
Euphorbiales,75,United States of America_Import
Fabales,1,Belgium_Import
Fabales,13,China_Import
Fabales,3,Czechia_Import
Fabales,11,Germany_Import
Fabales,4,France_Import
Fabales,72,United Kingdom of Great Britain and Northern Ireland_Import
Fabales,23,Hong Kong_Import
Fabales,4,Italy_Import
Fabales,2,Jersey_Import
Fabales,245.5,Japan_Import
Fabales,1.2,Luxembourg_Import
Fabales,3,Netherlands_Import
Fabales,4,Norway_Import
Fabales,1,Sweden_Import
Fabales,3,Singapore_Import
Fabales,51590,United States of America_Import
Gentianales,6,Japan_Import
Liliales,4,Spain_Import
Liliales,23,Japan_Import
Liliales,1430,United States of America_Import
Nepenthales,68,United Kingdom of Great Britain and Northern Ireland_Import
Nepenthales,57,Japan_Import
Nepenthales,247,United States of America_Import
Orchidales,28,United Arab Emirates_Import
Orchidales,470,Afghanistan_Import
Orchidales,607,Belgium_Import
Orchidales,65,China_Import
Orchidales,350,Czechia_Import
Orchidales,9967,Germany_Import
Orchidales,2058,France_Import
Orchidales,500,United Kingdom of Great Britain and Northern Ireland_Import
Orchidales,778,Hong Kong_Import
Orchidales,65,Hungary_Import
Orchidales,3,India_Import
Orchidales,14453,Japan_Import
Orchidales,18,Kuwait_Import
Orchidales,155,Singapore_Import
Orchidales,14579.8,United States of America_Import
Pinales,7500,Belgium_Import
Pinales,139,Japan_Import
Pinales,30000,Netherlands_Import
Pinales,19,United States of America_Import
