Year,App.,Class,Order,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source
2016,I,Mammalia,Cetacea,JP,ZZ,45,,skin pieces,S,X
2016,I,Mammalia,Cetacea,US,AQ,5,,skins,S,W
2016,I,Mammalia,Cetacea,US,CA,1,,baleen,P,W
2016,I,Mammalia,Cetacea,DE,CL,63,,specimens,S,W
2016,I,Mammalia,Cetacea,JP,ZZ,90,,bodies,S,X
2016,I,Mammalia,Cetacea,JP,ZZ,100,,skin pieces,S,X
2016,I,Mammalia,Cetacea,US,AU,2,,specimens,S,W
2016,I,Mammalia,Cetacea,US,JP,,0.2,specimens,S,W
2016,I,Mammalia,Cetacea,US,JP,1,,specimens,S,W
2016,I,Mammalia,Cetacea,JP,ZZ,25,,bodies,S,X
2016,I,Mammalia,Cetacea,JP,ZZ,220,,skin pieces,S,X
2016,I,Mammalia,Cetacea,US,JP,,24.2,specimens,S,W
2016,I,Mammalia,Cetacea,US,JP,91,,specimens,S,W
2016,I,Mammalia,Cetacea,ES,IS,10,,skin pieces,S,W
2016,I,Mammalia,Cetacea,JP,ZZ,15,,skin pieces,S,X
2016,I,Mammalia,Cetacea,NL,NO,,5,specimens,S,W
2016,I,Mammalia,Cetacea,US,JP,850,,meat,P,I
2016,I,Mammalia,Cetacea,US,JP,,0.4,specimens,S,W
2016,I,Mammalia,Cetacea,US,JP,1,,specimens,S,W
2016,I,Mammalia,Cetacea,US,MX,1,,bones,P,I
2016,I,Mammalia,Cetacea,US,NZ,12,,specimens,S,W
2016,I,Mammalia,Cetacea,CA,US,,4,specimens,S,W
2016,I,Mammalia,Cetacea,DK,GL,,1,jewellery,P,W
2016,I,Mammalia,Cetacea,ES,GL,,10,baleen,S,W
2016,I,Mammalia,Cetacea,ES,GL,,10,specimens,S,W
2016,I,Mammalia,Cetacea,ES,IS,100,,skin pieces,S,W
2016,I,Mammalia,Cetacea,JP,ZZ,15,,skin pieces,S,X
2016,I,Mammalia,Cetacea,NL,NO,,2,specimens,S,W
2016,I,Mammalia,Cetacea,US,GB,8,,specimens,S,W
2016,I,Mammalia,Cetacea,US,JP,,0.1,specimens,S,W
2016,I,Mammalia,Cetacea,US,JP,1,,specimens,S,W
2016,I,Mammalia,Cetacea,CA,US,,11,specimens,S,W
2016,I,Mammalia,Cetacea,DE,VC,1,,bones,P,W
2016,I,Mammalia,Cetacea,DK,GL,2,3,baleen,P,W
2016,I,Mammalia,Cetacea,DK,GL,,1,jewellery,P,W
2016,I,Mammalia,Cetacea,DK,GL,18,83,specimens,S,W
2016,I,Mammalia,Cetacea,ES,IS,10,,skin pieces,S,W
2016,I,Mammalia,Cetacea,FR,MG,,98,specimens,S,W
2016,I,Mammalia,Cetacea,FR,TN,1,,specimens,E,W
2016,I,Mammalia,Cetacea,GB,US,,1,baleen,Q,O
2016,I,Mammalia,Cetacea,JP,ZZ,80,,skin pieces,S,X
2016,I,Mammalia,Cetacea,NL,NO,,168,specimens,S,W
